ID_CLIENTE,CD_MAQUINA,DS_OBS,DT_CHECKLIST,ST_CHECKLIST
1,AR COND. SS 15,,2016-10-31T09:55:00,A
1,AR COND. SS 16,,2016-10-31T09:55:00,A
1,AR COND. SS 17,,2016-10-31T09:55:00,A
1,AR COND. SS 18,,2016-10-31T09:55:00,A
1,AR COND. SS 20,,2016-10-31T09:55:00,A
1,AR COND. SS 21,,2016-10-31T09:55:00,A
1,AR COND. SS 22,,2016-10-31T09:55:00,A
1,AR COND. SS 23,,2016-10-31T09:55:00,A
1,AR COND. SS 24,,2016-10-31T09:55:00,A
1,AR COND. SS 25,,2016-10-31T09:55:00,A
1,AR COND. SS 26,,2016-10-31T09:55:00,A
